scenario,iteration,model,precision,context,fragmentation,decay_applied
E2,92,BinaryGraph,0.3333333333333333,0.0,1.0,0.877854514466694
E2,92,HyperGraph,1.0,1.0,0.0,0.877854514466694
E2,93,BinaryGraph,0.3333333333333333,0.0,1.0,0.87498064478821
E2,93,HyperGraph,1.0,1.0,0.0,0.87498064478821
E2,94,BinaryGraph,0.3333333333333333,0.0,1.0,0.9423265599276013
E2,94,HyperGraph,1.0,1.0,0.0,0.9423265599276013
E2,95,BinaryGraph,0.3333333333333333,0.0,1.0,0.8943130745053457
E2,95,HyperGraph,1.0,1.0,0.0,0.8943130745053457
E2,96,BinaryGraph,0.3333333333333333,0.0,1.0,0.936134910476183
E2,96,HyperGraph,1.0,1.0,0.0,0.936134910476183
E2,97,BinaryGraph,0.3333333333333333,0.0,1.0,0.9050325312449847
E2,97,HyperGraph,1.0,1.0,0.0,0.9050325312449847
E2,98,BinaryGraph,0.3333333333333333,0.0,1.0,0.8550588329524881
E2,98,HyperGraph,1.0,1.0,0.0,0.8550588329524881
E2,99,BinaryGraph,0.3333333333333333,0.0,1.0,0.9499282468412726
E2,99,HyperGraph,1.0,1.0,0.0,0.9499282468412726
E2,100,BinaryGraph,0.3333333333333333,0.0,1.0,0.9336027585079951
E2,100,HyperGraph,1.0,1.0,0.0,0.9336027585079951
